"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14055885","JJ522576","12/14/2025 09:50:00 PM","014XX W 63RD ST","1570","SEX OFFENSE","PUBLIC INDECENCY","POLICE FACILITY / VEHICLE PARKING LOT","false","false","0713","007","16","67","17","1167639","1862965","2025","12/22/2025 03:42:20 PM","41.779520772","-87.660962362","(41.779520772, -87.660962362)"
"14055862","JJ522501","12/14/2025 09:47:00 PM","065XX W ARCHER AVE","0560","ASSAULT","SIMPLE","BAR OR TAVERN","false","false","0811","008","23","56","08A","1133529","1867367","2025","12/22/2025 03:42:20 PM","41.792264502","-87.785913184","(41.792264502, -87.785913184)"
"14055793","JJ522456","12/14/2025 09:47:00 PM","045XX W CONGRESS PKWY","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1131","011","28","26","08B","1146230","1897306","2025","12/22/2025 03:42:20 PM","41.87418995","-87.738579646","(41.87418995, -87.738579646)"
"14055787","JJ522450","12/14/2025 09:38:00 PM","085XX S ESCANABA AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","true","0423","004","10","46","08A","1196965","1848964","2025","12/22/2025 03:42:20 PM","41.74042153","-87.553916542","(41.74042153, -87.553916542)"
"14055790","JJ522457","12/14/2025 09:30:00 PM","052XX S PEORIA ST","0560","ASSAULT","SIMPLE","APARTMENT","false","false","0934","009","20","61","08A","1171197","1870100","2025","12/22/2025 03:42:20 PM","41.799022932","-87.647709727","(41.799022932, -87.647709727)"
"14056612","JJ523016","12/14/2025 09:30:00 PM","013XX N CLEAVER ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1433","014","1","24","14","1166479","1908977","2025","12/22/2025 03:42:20 PM","41.905806948","-87.663900247","(41.905806948, -87.663900247)"
"14055863","JJ522448","12/14/2025 09:30:00 PM","040XX N ASHLAND AVE","0810","THEFT","OVER $500","APARTMENT","false","false","1912","019","47","6","06","1164931","1926958","2025","12/22/2025 03:42:20 PM","41.955180847","-87.669074859","(41.955180847, -87.669074859)"
"14055997","JJ522652","12/14/2025 09:30:00 PM","075XX S PRAIRIE AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","0623","006","6","69","14","1179343","1855050","2025","12/22/2025 03:42:20 PM","41.757542041","-87.618295587","(41.757542041, -87.618295587)"
"14056030","JJ522697","12/14/2025 09:30:00 PM","105XX S HALE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false","2212","022","19","72","14","1165626","1834763","2025","12/22/2025 03:42:20 PM","41.702173276","-87.669140264","(41.702173276, -87.669140264)"
"14056329","JJ522447","12/14/2025 09:22:00 PM","011XX N MILWAUKEE AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","ALLEY","false","false","1213","012","27","24","04A","1166245","1907688","2025","12/22/2025 03:42:20 PM","41.902274854","-87.66479671","(41.902274854, -87.66479671)"
"14055772","JJ522445","12/14/2025 09:18:00 PM","011XX N SPRINGFIELD AVE","2027","NARCOTICS","POSSESS - CRACK","SIDEWALK","true","false","1112","011","37","23","18","1150174","1907405","2025","12/22/2025 03:42:20 PM","41.901826776","-87.72383559","(41.901826776, -87.72383559)"
"14056568","JJ523548","12/14/2025 09:15:00 PM","098XX S HOXIE AVE","0920","MOTOR VEHICLE THEFT","ATTEMPT - AUTOMOBILE","STREET","false","false","0431","004","7","51","07","1195083","1840217","2025","12/22/2025 03:42:20 PM","41.716465554","-87.561099355","(41.716465554, -87.561099355)"
"14055812","JJ522440","12/14/2025 09:08:00 PM","086XX S BALTIMORE AVE","0620","BURGLARY","UNLAWFUL ENTRY","APARTMENT","false","true","0424","004","10","46","05","1198297","1848271","2025","12/22/2025 03:42:20 PM","41.738486677","-87.549059491","(41.738486677, -87.549059491)"
"14055808","JJ522458","12/14/2025 09:05:00 PM","001XX W 74TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","0731","007","6","69","08B","1176520","1855921","2025","12/22/2025 03:42:20 PM","41.759996088","-87.628615289","(41.759996088, -87.628615289)"
"14055802","JJ522432","12/14/2025 09:04:00 PM","015XX E 87TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","true","true","0412","004","8","45","08B","1188151","1847605","2025","12/22/2025 03:42:20 PM","41.736906819","-87.586252763","(41.736906819, -87.586252763)"
"14056501","JJ523202","12/14/2025 09:00:00 PM","048XX S LAKE PARK AVE","0710","THEFT","THEFT FROM MOTOR VEHICLE","STREET","false","false","0222","002","4","39","06","1186842","1873319","2025","12/22/2025 03:42:20 PM","41.807499342","-87.590234482","(41.807499342, -87.590234482)"
"14056650","JJ522737","12/14/2025 09:00:00 PM","0000X E 32ND ST","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0211","002","3","35","14","1177426","1883784","2025","12/22/2025 03:42:20 PM","41.836434389","-87.624452686","(41.836434389, -87.624452686)"
"14057024","JJ524019","12/14/2025 09:00:00 PM","075XX S WABASH AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","true","false","0623","006","6","69","07","1178024","1854980","2025","12/22/2025 03:42:20 PM","41.757379936","-87.623131628","(41.757379936, -87.623131628)"
"14056419","JJ523103","12/14/2025 09:00:00 PM","007XX E 90TH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0633","006","8","44","07","1182640","1845460","2025","12/22/2025 03:42:20 PM","41.731150196","-87.606509501","(41.731150196, -87.606509501)"
"14055782","JJ522431","12/14/2025 09:00:00 PM","066XX S HARVARD AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0722","007","6","68","08B","1175209","1860955","2025","12/22/2025 03:42:20 PM","41.773839333","-87.633269925","(41.773839333, -87.633269925)"
"14056712","JJ523569","12/14/2025 09:00:00 PM","023XX N BOSWORTH AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","1811","018","2","7","08B","1165593","1915740","2025","12/22/2025 03:42:20 PM","41.924383975","-87.666961804","(41.924383975, -87.666961804)"
"14059301","JJ527111","12/14/2025 09:00:00 PM","006XX S CAMPBELL AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1135","011","28","28","07","1159829","1897181","2025","12/22/2025 03:42:20 PM","41.873577508","-87.688653593","(41.873577508, -87.688653593)"
"14056104","JJ522838","12/14/2025 09:00:00 PM","001XX W ONTARIO ST","0820","THEFT","$500 AND UNDER","RESTAURANT","false","false","1832","018","42","8","06","1175327","1904462","2025","12/22/2025 03:42:20 PM","41.893223483","-87.63153437","(41.893223483, -87.63153437)"
"14055872","JJ522562","12/14/2025 09:00:00 PM","068XX S PEORIA ST","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","false","true","0723","007","16","68","26","1171489","1859423","2025","12/22/2025 03:42:20 PM","41.769717628","-87.646951463","(41.769717628, -87.646951463)"
"14056189","JJ522974","12/14/2025 09:00:00 PM","056XX S ELIZABETH ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0713","007","16","67","07","1168950","1867436","2025","12/22/2025 03:42:20 PM","41.791761498","-87.65602696","(41.791761498, -87.65602696)"
"14055759","JJ522428","12/14/2025 08:51:00 PM","087XX S EXCHANGE AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","true","0423","004","10","46","14","1197282","1847605","2025","12/22/2025 03:42:20 PM","41.736684443","-87.552800274","(41.736684443, -87.552800274)"
"14055784","JJ522413","12/14/2025 08:45:00 PM","055XX S HOMAN AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","true","true","0822","008","14","63","14","1154654","1867707","2025","12/22/2025 03:42:20 PM","41.792802268","-87.708440925","(41.792802268, -87.708440925)"
"14059526","JJ526253","12/14/2025 08:44:00 PM","057XX W MIDWAY PARK","0810","THEFT","OVER $500","STREET","false","false","1512","015","29","25","06","1137966","1902652","2025","12/22/2025 03:42:20 PM","41.889013205","-87.768792597","(41.889013205, -87.768792597)"
"14055781","JJ522435","12/14/2025 08:42:00 PM","040XX W LEXINGTON ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","1132","011","24","26","08B","1149549","1896471","2025","12/22/2025 03:42:20 PM","41.871834859","-87.726415364","(41.871834859, -87.726415364)"
